,anchor_id,group,xmin,ymin,xmax,ymax,has_algorithmic_boundary,coords_x,coords_y,bbox_area,color
0,"8449,54571,8468,54588_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,166,128,190,149,0,"166,190,190,166,166","128,128,149,149,128",323,"rgb(0,0,255)"
1,"8330,54508,8358,54525_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,13,47,51,73,1,"51,50,46,25,16,13,13,20,30,36,40,46,51","54,70,71,73,66,64,59,54,49,47,47,51,54",600,"rgb(0,0,255)"
2,"8488,54474,8511,54495_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,215,0,244,32,1,"220,225,238,239,244,243,240,235,226,224,220,216,215,215,219,220","3,0,5,8,13,18,22,27,32,32,28,27,18,15,5,3",598,"rgb(0,255,255)"
3,"8542,54719,8580,54757_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",tumor,277,312,325,364,1,"312,277,277,277,283,287,287,297,302,316,321,325,325,322,321,317,312","364,354,347,342,325,320,318,313,312,313,315,320,341,347,352,357,364",1558,"rgb(255,0,0)"
4,"8499,54607,8522,54633_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,229,173,258,206,0,"229,258,258,229,229","173,173,206,206,173",598,"rgb(0,255,255)"
5,"8361,54507,8380,54526_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,51,44,85,80,1,"51,54,59,61,69,79,80,83,85,85,84,69,54,51","57,52,47,44,44,52,52,57,73,76,80,80,68,57",783,"rgb(0,0,255)"
6,"8489,54642,8520,54668_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,215,216,254,252,1,"215,225,236,243,252,253,254,254,249,248,244,236,221,216,215,215","238,225,216,216,220,221,228,231,243,245,247,252,252,250,240,238",868,"rgb(0,255,255)"
7,"8543,54526,8564,54548_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,284,68,312,97,1,"287,284,293,301,306,308,311,312,311,302,296,291,287","90,78,68,68,71,73,75,80,86,97,97,95,90",506,"rgb(0,255,255)"
8,"8404,54520,8429,54545_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,109,64,141,95,0,"109,141,141,109,109","64,64,95,95,64",625,"rgb(51,102,153)"
9,"8360,54653,8380,54673_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,54,231,79,257,0,"54,79,79,54,54","231,231,257,257,231",400,"rgb(0,0,255)"
10,"8545,54496,8568,54516_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,287,32,318,61,1,"297,303,313,316,317,318,313,308,307,299,296,291,289,287,287,294,297","32,32,32,34,37,41,51,59,61,61,59,56,54,49,39,32,32",575,"rgb(0,255,255)"
11,"8324,54531,8343,54557_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,8,78,32,110,0,"8,32,32,8,8","78,78,110,110,78",494,"rgb(0,0,255)"
12,"8415,54608,8443,54634_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,123,175,158,207,0,"123,158,158,123,123","175,175,207,207,175",728,"rgb(0,255,255)"
13,"8537,54473,8564,54496_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,277,1,308,30,1,"277,277,278,287,288,298,303,307,308,308,307,301,291,283,277","25,18,15,5,5,1,1,6,10,15,18,25,30,28,25",575,"rgb(0,255,255)"
14,"8362,54630,8396,54660_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,56,202,99,240,0,"56,99,99,56,56","202,202,240,240,202",1020,"rgb(51,102,153)"
15,"8465,54664,8484,54682_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,186,245,210,268,0,"186,210,210,186,186","245,245,268,268,245",342,"rgb(0,0,255)"
16,"8368,54556,8391,54572_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,64,109,93,129,0,"64,93,93,64,64","109,109,129,129,109",368,"rgb(0,255,255)"
17,"8337,54481,8358,54500_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,23,13,52,41,1,"23,25,30,34,42,50,51,52,51,47,47,40,36,30,26,23","27,20,13,13,13,22,23,30,32,37,37,41,39,37,32,27",506,"rgb(0,0,255)"
18,"8568,54692,8598,54720_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",tumor,316,281,354,316,0,"316,354,354,316,316","281,281,316,316,281",840,"rgb(255,0,0)"
19,"8507,54549,8529,54565_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,240,97,269,121,1,"244,250,257,263,269,267,258,255,245,240,240,242,244","102,97,97,102,107,114,119,121,119,117,110,105,102",437,"rgb(0,0,255)"
20,"8573,54510,8595,54529_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,317,50,351,85,1,"326,337,342,350,351,351,350,346,331,322,317,317,317,322,326","56,50,50,54,56,59,66,70,81,85,85,78,73,61,56",756,"rgb(0,255,255)"
21,"8479,54592,8508,54615_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,205,138,245,180,1,"205,206,221,225,230,235,245,245,240,233,216,211,209,205,205","168,163,139,138,138,139,149,158,173,180,180,178,178,175,168",1056,"rgb(0,0,255)"
22,"8464,54664,8487,54680_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,181,228,214,269,1,"182,182,181,181,182,191,200,214,214,211,209,200,195,191,186,182","255,247,233,231,228,229,233,243,247,260,264,269,268,267,260,255",858,"rgb(0,255,255)"
23,"8387,54588,8407,54611_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,88,149,113,178,0,"88,113,113,88,88","149,149,178,178,149",460,"rgb(51,102,153)"
24,"8442,54603,8462,54627_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",macrophage,157,168,182,199,0,"157,182,182,157,157","168,168,199,199,168",480,"rgb(51,102,153)"
25,"8461,54520,8481,54545_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,180,63,206,95,1,"182,195,201,205,206,206,205,201,191,186,185,181,181,180,181,182","69,63,63,64,71,80,86,90,95,93,93,89,85,79,71,69",546,"rgb(0,255,255)"
26,"8343,54616,8364,54637_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,32,185,59,211,0,"32,59,59,32,32","185,185,211,211,185",441,"rgb(0,0,255)"
27,"8574,54646,8598,54686_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",fibroblast,320,213,351,271,1,"331,323,322,320,320,325,341,344,351,351,347,344,331","271,269,265,245,240,231,213,214,221,240,255,260,271",1150,"rgb(0,230,77)"
28,"8322,54691,8343,54712_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,3,276,32,308,1,"3,11,16,20,22,31,32,32,26,22,13,7,6,3","284,279,276,276,276,289,296,308,308,306,303,299,296,284",598,"rgb(0,0,255)"
29,"8373,54664,8396,54685_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,70,245,99,272,0,"70,99,99,70,70","245,245,272,272,245",483,"rgb(0,255,255)"
30,"8429,54675,8447,54692_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,141,259,163,281,0,"141,163,163,141,141","259,259,281,281,259",306,"rgb(0,0,255)"
31,"8452,54487,8476,54510_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",lymphocyte,170,22,200,51,0,"170,200,200,170,170","22,22,51,51,22",552,"rgb(0,0,255)"
32,"8577,54531,8603,54559_TCGA-A1-A0SP-01Z-00-DX1_left-8332_top-54485_bottom-54741_right-8588",plasma_cell,327,76,369,110,1,"346,336,327,327,327,331,335,340,346,364,366,369,369,365,359,356,347,346","110,109,99,93,88,83,81,80,78,76,76,83,90,95,104,105,110,110",891,"rgb(0,255,255)"
