,anchor_id,group,xmin,ymin,xmax,ymax,has_algorithmic_boundary,coords_x,coords_y,bbox_area,color
0,"11782,58134,11815,58163_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,265,205,314,253,1,"270,296,304,306,309,314,314,311,310,309,305,291,280,274,265,265,265,268,270","221,205,205,207,208,219,221,238,243,246,250,253,253,250,243,236,233,224,221",1521,"rgb(80,80,80)"
1,"11783,58186,11823,58212_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,269,279,324,315,1,"269,270,294,309,315,320,321,324,321,315,309,291,284,270,269","310,300,284,279,279,280,285,298,301,305,308,315,315,313,310",1276,"rgb(80,80,80)"
2,"11716,58145,11790,58186_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,187,229,279,280,0,"187,279,279,187,187","229,229,280,280,229",3034,"rgb(0,230,77)"
3,"11581,58163,11620,58196_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,24,253,65,283,1,"24,24,42,50,55,60,64,65,65,55,49,39,32,28,24","278,270,259,254,253,253,254,257,264,273,278,283,283,282,278",792,"rgb(0,230,77)"
4,"11761,58100,11782,58140_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,244,177,268,218,1,"244,253,260,263,268,268,265,260,260,258,255,244,244","212,188,178,177,178,187,192,208,213,216,218,216,212",627,"rgb(80,80,80)"
5,"11599,58197,11624,58214_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",lymphocyte,43,290,70,315,1,"44,43,45,45,53,59,69,70,70,69,64,58,49,44","310,300,296,295,290,290,294,296,301,305,310,315,315,310",440,"rgb(0,0,255)"
6,"11798,57973,11848,58000_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,289,16,351,49,0,"289,351,351,289,289","16,16,49,49,16",1350,"rgb(0,230,77)"
7,"11584,58033,11606,58066_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",plasma_cell,22,89,50,121,1,"50,48,45,44,33,23,22,22,23,24,29,37,43,48,50","101,116,121,121,121,116,111,105,100,96,90,89,89,90,101",598,"rgb(0,255,255)"
8,"11695,58119,11724,58141_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,157,192,198,226,1,"191,178,171,166,162,157,157,157,162,162,168,181,186,193,196,198,198,197,191","226,226,224,223,218,212,205,203,198,197,192,192,193,198,203,214,218,223,226",891,"rgb(80,80,80)"
9,"11799,58132,11815,58156_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",lymphocyte,290,213,310,243,0,"290,310,310,290,290","213,213,243,243,213",384,"rgb(0,0,255)"
10,"11568,58000,11595,58023_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",plasma_cell,4,49,38,75,1,"4,4,17,23,32,34,38,38,37,29,18,9,7,4,4","67,64,49,49,50,52,57,59,64,69,75,75,75,74,67",567,"rgb(0,255,255)"
11,"11573,58098,11595,58112_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,8,167,36,190,1,"24,13,12,11,8,14,26,32,34,36,34,24","190,188,187,185,177,172,167,167,172,177,180,190",396,"rgb(80,80,80)"
12,"11567,58198,11585,58233_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,0,295,24,336,1,"24,24,22,12,7,4,0,0,0,9,14,19,23,24","308,331,336,331,326,323,315,308,305,296,295,298,301,308",660,"rgb(80,80,80)"
13,"11808,58182,11830,58211_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,301,275,329,311,0,"301,329,329,301,301","275,275,311,311,275",638,"rgb(0,230,77)"
14,"11639,58139,11672,58162_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",plasma_cell,93,221,132,249,1,"105,119,124,130,131,132,123,113,99,94,93,94,101,105","223,221,223,228,233,239,246,249,249,244,238,233,224,223",736,"rgb(0,255,255)"
15,"11626,58089,11650,58115_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",neutrophil,70,154,106,195,1,"70,82,90,96,101,105,106,106,104,103,100,95,88,79,77,72,70,70","177,161,154,154,157,162,167,175,185,187,190,192,195,193,192,187,182,177",957,"rgb(51,102,204)"
16,"11777,58142,11807,58162_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",lymphocyte,263,226,300,250,0,"263,300,300,263,263","226,226,250,250,226",600,"rgb(0,0,255)"
17,"11687,58163,11709,58181_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",unlabeled,147,248,178,274,1,"150,147,150,157,162,167,176,177,178,178,177,167,156,151,150","269,259,257,249,248,249,250,253,254,259,265,274,274,270,269",525,"rgb(80,80,80)"
18,"11754,57960,11795,58004_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,234,0,285,54,0,"234,285,285,234,234","0,0,54,54,0",1804,"rgb(0,230,77)"
19,"11778,58192,11812,58215_TCGA-C8-A12V-01Z-00-DX1_left-11566_top-57983_bottom-58239_right-11822",fibroblast,264,288,306,316,0,"264,306,306,264,264","288,288,316,316,288",782,"rgb(0,230,77)"
