Iteration,Ground_Truth_Count,Predicted_Count,Recall (%),Precision (%),sTILS Density (%),Time_Duration(sec)
0,36,149,100.0,24.161073825503358,78.25630252100841,112.75747966766357
1,36,143,100.0,25.174825174825177,75.10504201680672,158.04965591430664
2,36,110,100.0,32.72727272727273,57.773109243697476,201.13929510116577
3,36,86,100.0,41.86046511627907,45.168067226890756,244.5789144039154
4,36,74,97.22222222222221,47.2972972972973,38.865546218487395,287.73992133140564
5,36,69,97.22222222222221,50.72463768115942,36.239495798319325,331.033798456192
6,36,67,97.22222222222221,52.23880597014925,35.189075630252105,374.74063062667847
7,36,63,94.44444444444444,53.96825396825397,33.088235294117645,417.90476632118225
8,36,63,94.44444444444444,53.96825396825397,33.088235294117645,460.8356020450592
9,36,61,94.44444444444444,55.73770491803278,32.037815126050425,503.3176543712616
10,36,60,94.44444444444444,56.666666666666664,31.512605042016805,546.4816572666168
11,36,58,94.44444444444444,58.620689655172406,30.462184873949578,591.4426429271698
12,36,62,94.44444444444444,54.83870967741935,32.563025210084035,635.5883009433746
13,36,63,100.0,57.14285714285714,33.088235294117645,678.7707607746124
14,36,57,100.0,63.1578947368421,29.936974789915965,721.9256403446198
15,36,58,97.22222222222221,60.3448275862069,30.462184873949578,764.8896389007568
16,36,55,97.22222222222221,63.63636363636363,28.886554621848738,808.131411075592
17,36,56,97.22222222222221,62.5,29.411764705882355,851.4593765735626
18,36,52,97.22222222222221,67.3076923076923,27.310924369747898,895.8356297016144
19,36,54,97.22222222222221,64.81481481481481,28.361344537815125,938.9142932891846
20,36,50,97.22222222222221,70.0,26.260504201680675,981.5813202857971
21,36,54,97.22222222222221,64.81481481481481,28.361344537815125,1023.4840180873871
22,36,51,97.22222222222221,68.62745098039215,26.785714285714285,1067.160662651062
23,36,50,97.22222222222221,70.0,26.260504201680675,1111.2273960113525
24,36,50,97.22222222222221,70.0,26.260504201680675,1154.0231165885925
25,36,50,97.22222222222221,70.0,26.260504201680675,1196.9234867095947
26,36,50,97.22222222222221,70.0,26.260504201680675,1239.2360577583313
27,36,50,97.22222222222221,70.0,26.260504201680675,1259.8344888687134
28,36,50,97.22222222222221,70.0,26.260504201680675,1261.8737623691559
29,36,50,97.22222222222221,70.0,26.260504201680675,1263.6634485721588
30,36,50,97.22222222222221,70.0,26.260504201680675,1265.568659067154
31,36,50,97.22222222222221,70.0,26.260504201680675,1267.4684760570526
32,36,50,97.22222222222221,70.0,26.260504201680675,1269.3679883480072
33,36,50,97.22222222222221,70.0,26.260504201680675,1271.2973425388336
34,36,50,97.22222222222221,70.0,26.260504201680675,1273.0936360359192
35,36,50,97.22222222222221,70.0,26.260504201680675,1275.1813387870789
36,36,50,97.22222222222221,70.0,26.260504201680675,1277.1577415466309
37,36,50,97.22222222222221,70.0,26.260504201680675,1279.058827638626
38,36,50,97.22222222222221,70.0,26.260504201680675,1281.235080242157
39,36,50,97.22222222222221,70.0,26.260504201680675,1283.384381055832
40,36,50,97.22222222222221,70.0,26.260504201680675,1285.3314328193665
41,36,50,97.22222222222221,70.0,26.260504201680675,1287.2616288661957
42,36,50,97.22222222222221,70.0,26.260504201680675,1289.0793883800507
43,36,50,97.22222222222221,70.0,26.260504201680675,1290.9976959228516
44,36,50,97.22222222222221,70.0,26.260504201680675,1292.91126537323
45,36,50,97.22222222222221,70.0,26.260504201680675,1294.6816201210022
